course_title,chapter_name,lesson_name,type,question,marks,explanation,option_a,option_b,option_c,option_d,correct_option
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Lesson 1","M","What is the default 3D object when you open a new Blender scene?",1,"Blender always starts with a default cube in the center of the scene.","Sphere","Cube","Cylinder","Plane","B"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Lesson 1","M","Which shortcut key is used to grab and move an object in Blender?",1,"G stands for Grab.","G","M","S","R","A"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Lesson 1","M","What does the shortcut 'S' do in Blender?",1,"S stands for Scale.","Shear","Slide","Scale","Smooth","C"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Lesson 1","M","Which shortcut key is used to rotate an object?",1,"R stands for Rotate.","T","E","R","Y","C"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Lesson 1","T","Blender is a free and open-source 3D creation suite.",1,"Yes, it is entirely free and open source under the GNU GPL.","","","","","T"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Lesson 1","T","You can only create 3D models in Blender, not 2D animations.",1,"Blender has the Grease Pencil tool which is fully featured for 2D animation.","","","","","F"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Lesson 1","F","The shortcut key to enter Edit Mode from Object Mode is ____.",2,"The Tab key toggles between Object and Edit mode.","","","","","Tab"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Video 2","M","Which render engine in Blender is real-time?",1,"Eevee is Blender's real-time render engine.","Cycles","Workbench","Eevee","LuxCore","C"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Video 2","M","Which render engine in Blender is physically based and uses path tracing?",1,"Cycles is the ray-tracing render engine.","Eevee","Cycles","Workbench","Octane","B"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Video 2","M","What is the shortcut to add a new object to the scene?",1,"Shift + A brings up the Add menu.","Ctrl + A","Alt + A","Shift + A","Spacebar","C"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Video 2","M","How do you duplicate an object in Blender?",1,"Shift + D duplicates the selected object.","Ctrl + C","Shift + D","Alt + D","Ctrl + D","B"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Video 2","T","Pressing 'X' in the 3D viewport brings up the delete menu.",1,"X is the standard shortcut to delete objects/vertices.","","","","","T"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","Video 2","F","To extrude a face in Edit Mode, you press the ____ key.",2,"E stands for Extrude.","","","","","E"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","","M","What does 'Proportional Editing' do?",1,"It allows you to transform a selection while smoothly affecting nearby geometry.","It edits the properties of the object.","It smooths the mesh.","It transforms nearby vertices along with the selection.","It changes the scale uniformly.","C"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","","M","What is the purpose of the 'Subdivision Surface' modifier?",1,"It subdivides the mesh to make it look smoother.","To reduce polygon count.","To add textures.","To smooth the mesh by adding geometry.","To split the object in half.","C"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","","M","Which mode is used to paint weights for rigging?",1,"Weight Paint mode is used for this.","Texture Paint","Vertex Paint","Weight Paint","Sculpt Mode","C"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","","T","A 'vertex' is a single point in 3D space.",1,"A vertex is the most basic component of a 3D model.","","","","","T"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","","T","You cannot undo actions in Blender.",1,"You can undo using Ctrl+Z.","","","","","F"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","","F","The process of mapping a 2D image onto a 3D model is called ____ mapping.",2,"UV mapping unfolds the 3D mesh into 2D space.","","","","","UV"
"Learn 3D In Blender Tutorial for Beginners","Chapter 1","","M","Which key brings up the Tool Shelf on the left side of the 3D viewport?",1,"T toggles the tool shelf.","N","T","Spacebar","Tab","B"
